2017/10/31	      ES	CAD	   23.29	   23.47
2017/10/31	      ES	CHF	   30.08	   30.28
2017/10/31	      ES	SGD	   22.04	    22.2
2017/10/31	      ES	THB	    0.89	    0.93
2017/10/31	      ES	NZD	   20.68	   20.92
2017/10/31	      ES	SEK	   3.569	   3.629
2017/10/31	      ES	ZAR	   2.073	   2.193
2017/10/31	      ES	CNY	   4.521	   4.571
2017/10/31	      ES	MXN	   1.514	   1.634
2017/10/31	      HSBC	USD	  29.871	  30.471
2017/10/31	      HSBC	EUR	34.60787	35.58842
2017/10/31	      HSBC	GBP	39.21051	40.90027
2017/10/31	      HSBC	AUD	22.76968	23.43917
2017/10/31	      HSBC	NZD	       -	       -
2017/10/31	      HSBC	HKD	 3.74051	  3.9941
2017/10/31	      HSBC	CAD	       -	       -
2017/10/31	      HSBC	SGD	       -	       -
2017/10/31	      HSBC	CHF	       -	       -
2017/10/31	      HSBC	JPY	 0.25924	0.2706623
2017/10/31	      HSBC	SEK	       -	       -
2017/10/31	      HSBC	ZAR	       -	       -
2017/10/31	      HSBC	CNY	  4.4246	 4.67051
2017/11/01	       BOT	USD	   29.83	  30.372
2017/11/01	       BOT	HKD	   3.718	   3.913
2017/11/01	       BOT	GBP	   38.97	    40.9
2017/11/01	       BOT	AUD	   22.98	   23.64
2017/11/01	       BOT	CAD	   23.14	   23.88
2017/11/01	       BOT	SGD	    21.7	   22.48
2017/11/01	       BOT	CHF	   29.51	   30.57
2017/11/01	       BOT	JPY	  0.2563	  0.2673
2017/11/01	       BOT	ZAR	       -	       -
2017/11/01	       BOT	SEK	    3.21	    3.72
2017/11/01	       BOT	NZD	   20.55	   21.18
2017/11/01	       BOT	THB	  0.8077	  0.9507
2017/11/01	       BOT	PHP	  0.5379	  0.6709
2017/11/01	       BOT	IDR	 0.00188	 0.00258
2017/11/01	       BOT	EUR	   34.44	   35.59
2017/11/01	       BOT	KRW	 0.02535	 0.02925
2017/11/01	       BOT	VND	 0.00096	 0.00146
2017/11/01	       BOT	MYR	   6.076	   7.646
2017/11/01	       BOT	CNY	   4.472	   4.634
2017/11/01	CT	 USD	   29.95	   30.41
2017/11/01	CT	 JPY	   .2603	   .2686
2017/11/01	CT	 CNY	   4.388	   4.611
2017/11/01	CT	 HKD	   3.789	   3.947
2017/11/01	CT	 EUR	  34.623	  35.742
2017/11/01	CT	 AUD	     nan	     nan
2017/11/01	CT	 GBP	     nan	     nan
2017/11/01	CT	 CAD	     nan	     nan
2017/11/01	CT	 NZD	     nan	     nan
2017/11/01	CT	 ZAR	     nan	     nan
2017/11/01	CT	 SGD	     nan	     nan
2017/11/01	CT	 CHF	     nan	     nan
2017/11/01	CT	 SEK	     nan	     nan
2017/11/01	CT	 THB	     nan	     nan
2017/11/01	CT	 IDR	     nan	     nan
2017/11/01	CT	 INR	     nan	     nan
2017/11/01	CT	 MYR	     nan	     nan
2017/11/01	CT	 PHP	     nan	     nan
2017/11/01	CT	 VND	     nan	     nan
2017/11/01	CT	 KRW	     nan	     nan
2017/11/01	      ES	USD	   30.13	   30.23
2017/11/01	      ES	HKD	   3.838	   3.898
2017/11/01	      ES	JPY	  0.2631	  0.2671
2017/11/01	      ES	EUR	      35	    35.4
2017/11/01	      ES	GBP	   39.35	   39.75
2017/11/01	      ES	AUD	    23.2	    23.4
2017/11/01	      ES	CAD	   23.45	   23.63
2017/11/01	      ES	CHF	   30.13	   30.33
2017/11/01	      ES	SGD	   22.12	   22.28
2017/11/01	      ES	THB	   0.893	   0.933
2017/11/01	      ES	NZD	   20.77	   21.01
2017/11/01	      ES	SEK	   3.568	   3.628
2017/11/01	      ES	ZAR	   2.097	   2.217
2017/11/01	      ES	CNY	   4.541	   4.591
2017/11/01	      ES	MXN	   1.525	   1.645
2017/11/01	      HSBC	USD	 29.8795	 30.4795
2017/11/01	      HSBC	EUR	 34.6363	 35.6169
2017/11/01	      HSBC	GBP	39.18809	40.87735
